City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,san jose del guaviare,2.5729,-72.6459,32.84000000000003,50,92,2.61,CO,1711994477
246,iguatemi,-23.6803,-54.5611,29.170000000000016,55,96,6.51,BR,1711994477
247,pakokku,21.3333,95.1,31.170000000000016,40,9,2.93,MM,1711994477
248,amarante do maranhao,-5.5667,-46.7422,29.680000000000007,73,93,0.71,BR,1711994478
249,badr hunayn,23.7829,38.7905,28.350000000000023,42,2,1.95,SA,1711994478
250,sola,-13.8833,167.55,27.100000000000023,77,59,3.15,VU,1711994478
251,la passe,45.5549,-0.8967,12.230000000000018,81,65,8.85,FR,1711994478
252,lycksele,64.5954,18.6735,-3.069999999999993,80,40,3.09,SE,1711994479
253,puquio,-14.7,-74.1333,17.310000000000002,62,75,5.13,PE,1711994479
254,hermiston,45.8404,-119.2895,16.78000000000003,51,0,3.09,US,1711994479
255,nizhneudinsk,54.9076,99.0276,-6.269999999999982,90,99,1.22,RU,1711994479
256,santa vitoria do palmar,-33.5189,-53.3681,15.52000000000004,96,100,5.07,BR,1711994480
257,alice springs,-23.7,133.8833,22.900000000000038,69,75,3.09,AU,1711994414
258,berdigestyakh,62.0989,126.6992,-24.21999999999997,100,92,0.6,RU,1711994480
259,lompoc,34.6391,-120.4579,19.24000000000001,68,0,1.79,US,1711994480
260,klyuchi,52.2667,79.1667,4.600000000000023,46,96,3.76,RU,1711994481
261,alesund,62.4723,6.1549,6.510000000000048,78,40,12.86,NO,1711994372
262,uglekamensk,43.2172,133.2303,-2.099999999999966,72,11,1.24,RU,1711994481
263,hawaiian paradise park,19.5933,-154.9731,23.28000000000003,91,13,0.45,US,1711994482
264,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,33,7.8,PT,1711994482
265,najran,17.4924,44.1277,24.360000000000014,37,12,3.87,SA,1711994482
266,isla vista,34.4133,-119.861,18.58000000000004,76,0,3.09,US,1711994482
267,kiffa,16.6166,-11.4045,43.02000000000004,9,22,2.24,MR,1711994483
268,fuyang,32.9,115.8167,18.480000000000015,94,100,2.85,CN,1711994483
269,bandar-e genaveh,29.5791,50.517,22.150000000000038,67,0,0.94,IR,1711994483
270,shimabara,32.7833,130.3667,14.939999999999998,66,59,0.96,JP,1711994483
271,minas de marcona,-15.2119,-75.1103,23.25,56,18,5.99,PE,1711994484
272,vorgashor,67.5833,63.95,-21.18999999999997,100,86,1.33,RU,1711994484
273,langzhong,31.5504,105.9938,18.25,82,100,1.41,CN,1711994484
274,sesheke,-17.4759,24.2968,26.08000000000004,42,100,2.63,ZM,1711994484
275,whistler,50.1164,-122.9695,8.090000000000032,75,100,0.0,CA,1711994485
276,petropavlovsk-kamchatsky,53.0452,158.6483,-0.6699999999999591,55,75,3.0,RU,1711994485
277,tindouf,27.6711,-8.1474,29.25,16,0,8.23,DZ,1711994485
278,bejaia,36.7559,5.0843,17.600000000000023,59,20,2.57,DZ,1711994485
279,huarmey,-10.0681,-78.1522,23.670000000000016,79,100,3.52,PE,1711994485
280,canutama,-6.5339,-64.3831,26.0,92,100,1.07,BR,1711994486
281,port saint john's,-31.6229,29.5448,22.850000000000023,94,95,2.23,ZA,1711994486
282,saint-pierre,-21.3393,55.4781,24.82000000000005,94,75,7.72,RE,1711994486
283,undurkhaan,47.3194,110.6556,-4.519999999999982,74,9,1.76,MN,1711994486
284,arraial do cabo,-22.9661,-42.0278,27.980000000000015,69,40,3.6,BR,1711994487
285,tot'ma,59.9747,42.7642,7.140000000000043,98,100,5.13,RU,1711994487
286,mcalester,34.9334,-95.7697,24.05000000000001,69,75,6.69,US,1711994341
287,banjarmasin,-3.3244,114.591,26.08000000000004,95,100,0.58,ID,1711994424
